league_id,season_id,game_id,date,home_team_id,away_team_id,home_team,away_team,away_team_code,home_team_code,home_points,home_expected_points,home_goals,home_xg,home_np_xg,home_np_xg_difference,home_ppda,home_deep_completions,away_points,away_expected_points,away_goals,away_xg,away_np_xg,away_np_xg_difference,away_ppda,away_deep_completions,match_date
5,2020,15810,2020-10-04 13:00:00,180,179,Metz,Lorient,LOR,MET,3,2.0090000000000003,3,1.60054,0.840447,-0.0132639999999999,9.24,6,0,0.7021999999999999,1,0.853711,0.853711,0.0132639999999999,12.625,1,2020-10-04 13:00:00
5,2020,15809,2020-10-04 11:00:00,166,235,Montpellier,Nimes,NIM,MPL,0,1.377,0,0.686408,0.686408,0.0975789999999999,10.736842105263158,6,3,1.2234,1,0.588829,0.588829,-0.0975789999999999,7.821428571428571,4,2020-10-04 11:00:00
5,2020,15814,2020-10-04 15:00:00,163,177,Rennes,Reims,REI,REN,1,2.1246,2,2.09357,2.09357,1.0429700000000002,6.15,7,1,0.6528,2,1.0506,1.0506,-1.0429700000000002,20.38095238095238,2,2020-10-04 15:00:00
5,2020,15813,2020-10-04 13:00:00,225,160,Strasbourg,Lille,LIL,STR,0,0.5178,0,0.844783,0.844783,-1.112067,11.862068965517242,10,3,2.2827,3,1.95685,1.95685,1.112067,10.217391304347826,8,2020-10-04 13:00:00
5,2020,15817,2020-10-16 17:00:00,181,163,Dijon,Rennes,REN,DJN,1,1.6555,1,1.10593,1.10593,0.3365540000000001,10.451612903225806,2,1,1.018,1,0.769376,0.769376,-0.3365540000000001,8.222222222222221,8,2020-10-16 17:00:00
5,2020,15822,2020-10-16 19:00:00,235,161,Nimes,Paris Saint Germain,PSG,NIM,0,0.0053,0,0.138218,0.138218,-3.984942,14.72,0,3,2.9903,4,4.12316,4.12316,3.984942,3.851851851851852,11,2020-10-16 19:00:00
5,2020,15819,2020-10-17 19:00:00,164,176,Marseille,Bordeaux,BOR,MAR,3,1.9136,3,0.977647,0.217618,-0.29053,10.782608695652174,3,0,0.7439,1,0.508148,0.508148,0.29053,12.666666666666666,1,2020-10-17 19:00:00
5,2020,15823,2020-10-17 15:00:00,177,179,Reims,Lorient,LOR,REI,0,0.0384,1,0.273331,0.273331,-1.7769290000000002,9.56,3,3,2.9358,3,2.81036,2.05026,1.7769290000000002,5.806451612903226,4,2020-10-17 15:00:00
5,2020,15816,2020-10-18 13:00:00,167,180,Angers,Metz,MET,ANG,1,1.1692,1,1.09118,0.331149,-0.8324109999999999,10.5,4,1,1.3549,1,1.16356,1.16356,0.8324109999999999,10.173913043478262,5,2020-10-18 13:00:00
5,2020,15818,2020-10-18 19:00:00,160,210,Lille,Lens,LEN,LIL,3,2.8791,4,2.90262,2.90262,2.6476550000000003,10.952380952380953,4,0,0.0744,0,0.254965,0.254965,-2.6476550000000003,11.592592592592592,1,2020-10-18 19:00:00
5,2020,15820,2020-10-18 13:00:00,171,166,Monaco,Montpellier,MPL,MON,1,2.7596,1,1.80187,1.04178,0.932685,2.3703703703703702,19,1,0.1331,1,0.109095,0.109095,-0.932685,35.875,0,2020-10-18 13:00:00
5,2020,15821,2020-10-18 13:00:00,168,241,Nantes,Brest,BRE,NAN,3,2.2601,3,1.90561,1.90561,1.066262,12.782608695652174,5,0,0.5156000000000001,1,0.839348,0.839348,-1.066262,4.21875,1,2020-10-18 13:00:00
5,2020,15824,2020-10-18 15:00:00,175,170,Saint-Etienne,Nice,NIC,SEN,0,0.1971,1,0.714171,0.714171,-1.810209,8.75,2,3,2.694,3,2.52438,2.52438,1.810209,13.095238095238097,5,2020-10-18 15:00:00
5,2020,15825,2020-10-18 11:00:00,225,178,Strasbourg,Lyon,LYO,STR,0,0.251,2,1.92587,1.92587,-2.23911,7.285714285714286,6,3,2.6534000000000004,3,4.16498,4.16498,2.23911,12.25,8,2020-10-18 11:00:00
5,2020,15832,2020-10-23 19:00:00,163,167,Rennes,Angers,ANG,REN,0,1.3818,1,1.21675,1.21675,0.01163,8.4375,8,3,1.3068,2,1.20512,1.20512,-0.01163,28.214285714285715,4,2020-10-23 19:00:00
5,2020,15835,2020-10-24 15:00:00,179,164,Lorient,Marseille,MAR,LOR,0,1.3052,0,0.846635,0.846635,-0.033791,9.78125,2,3,1.3454,1,0.880426,0.880426,0.033791,4.821428571428571,4,2020-10-24 15:00:00
